#    L    TT             EE             BB             TE             PP             TP             EP          
   161   0.473115E+04   0.101621E+01   0.000000E+00  -0.452305E+02   0.705838E-07   0.200104E-03  -0.930404E-06
   162   0.476180E+04   0.100706E+01   0.000000E+00  -0.449884E+02   0.701932E-07   0.198406E-03  -0.922871E-06
   163   0.479119E+04   0.997609E+00   0.000000E+00  -0.447129E+02   0.698008E-07   0.196594E-03  -0.914830E-06
   164   0.482098E+04   0.987970E+00   0.000000E+00  -0.444182E+02   0.694162E-07   0.194920E-03  -0.906913E-06
   165   0.485031E+04   0.977980E+00   0.000000E+00  -0.440915E+02   0.690306E-07   0.193352E-03  -0.898671E-06
   166   0.487873E+04   0.967772E+00   0.000000E+00  -0.437337E+02   0.686520E-07   0.191727E-03  -0.890331E-06
   167   0.490745E+04   0.957405E+00   0.000000E+00  -0.433556E+02   0.682734E-07   0.190090E-03  -0.882028E-06
   168   0.493633E+04   0.946845E+00   0.000000E+00  -0.429528E+02   0.679008E-07   0.188501E-03  -0.873721E-06
   169   0.496446E+04   0.936113E+00   0.000000E+00  -0.425186E+02   0.675380E-07   0.186966E-03  -0.865451E-06
   170   0.499122E+04   0.925225E+00   0.000000E+00  -0.420516E+02   0.671619E-07   0.185291E-03  -0.856623E-06
   171   0.501898E+04   0.914298E+00   0.000000E+00  -0.415686E+02   0.668040E-07   0.183829E-03  -0.848160E-06
   172   0.504518E+04   0.903076E+00   0.000000E+00  -0.410421E+02   0.664355E-07   0.182247E-03  -0.838215E-06
   173   0.507112E+04   0.891927E+00   0.000000E+00  -0.404947E+02   0.660824E-07   0.180712E-03  -0.828395E-06
   174   0.509788E+04   0.880718E+00   0.000000E+00  -0.399275E+02   0.657212E-07   0.179232E-03  -0.818459E-06
   175   0.512392E+04   0.869484E+00   0.000000E+00  -0.393292E+02   0.653729E-07   0.177779E-03  -0.808115E-06
   176   0.514815E+04   0.858215E+00   0.000000E+00  -0.386939E+02   0.650186E-07   0.176187E-03  -0.796703E-06
   177   0.517311E+04   0.847066E+00   0.000000E+00  -0.380420E+02   0.646750E-07   0.174783E-03  -0.785185E-06
   178   0.519741E+04   0.835850E+00   0.000000E+00  -0.373554E+02   0.643277E-07   0.173396E-03  -0.772968E-06
   179   0.522092E+04   0.824788E+00   0.000000E+00  -0.366415E+02   0.639886E-07   0.171946E-03  -0.760341E-06
   180   0.524463E+04   0.813869E+00   0.000000E+00  -0.359063E+02   0.636482E-07   0.170481E-03  -0.747502E-06
   181   0.526812E+04   0.803084E+00   0.000000E+00  -0.351437E+02   0.633138E-07   0.169103E-03  -0.734193E-06
   182   0.528987E+04   0.792422E+00   0.000000E+00  -0.343446E+02   0.629800E-07   0.167709E-03  -0.720410E-06
   183   0.531175E+04   0.782038E+00   0.000000E+00  -0.335256E+02   0.626500E-07   0.166377E-03  -0.706526E-06
   184   0.533357E+04   0.771836E+00   0.000000E+00  -0.326792E+02   0.623227E-07   0.165050E-03  -0.692457E-06
   185   0.535444E+04   0.761907E+00   0.000000E+00  -0.318029E+02   0.619971E-07   0.163655E-03  -0.677912E-06
   186   0.537494E+04   0.752313E+00   0.000000E+00  -0.309033E+02   0.616762E-07   0.162299E-03  -0.663565E-06
   187   0.539541E+04   0.743048E+00   0.000000E+00  -0.299795E+02   0.613550E-07   0.161039E-03  -0.649127E-06
   188   0.541459E+04   0.734104E+00   0.000000E+00  -0.290229E+02   0.610365E-07   0.159749E-03  -0.634572E-06
   189   0.543325E+04   0.725599E+00   0.000000E+00  -0.280428E+02   0.607235E-07   0.158435E-03  -0.619972E-06
   190   0.545197E+04   0.717514E+00   0.000000E+00  -0.270393E+02   0.604104E-07   0.157147E-03  -0.605136E-06
   191   0.547001E+04   0.709883E+00   0.000000E+00  -0.260082E+02   0.601021E-07   0.155907E-03  -0.590231E-06
   192   0.548727E+04   0.702774E+00   0.000000E+00  -0.249520E+02   0.598027E-07   0.154670E-03  -0.575462E-06
   193   0.550434E+04   0.696201E+00   0.000000E+00  -0.238738E+02   0.594908E-07   0.153417E-03  -0.560747E-06
   194   0.552123E+04   0.690210E+00   0.000000E+00  -0.227721E+02   0.591955E-07   0.152232E-03  -0.545720E-06
   195   0.553603E+04   0.684764E+00   0.000000E+00  -0.216364E+02   0.588896E-07   0.150958E-03  -0.530078E-06
   196   0.555121E+04   0.680021E+00   0.000000E+00  -0.204844E+02   0.585982E-07   0.149777E-03  -0.514938E-06
   197   0.556618E+04   0.675906E+00   0.000000E+00  -0.193070E+02   0.582980E-07   0.148600E-03  -0.499615E-06
   198   0.558028E+04   0.672530E+00   0.000000E+00  -0.181064E+02   0.580104E-07   0.147400E-03  -0.483952E-06
   199   0.559362E+04   0.669906E+00   0.000000E+00  -0.168835E+02   0.577158E-07   0.146189E-03  -0.468309E-06
   200   0.560700E+04   0.668080E+00   0.000000E+00  -0.156404E+02   0.574320E-07   0.145102E-03  -0.452741E-06
   201   0.561874E+04   0.667032E+00   0.000000E+00  -0.143684E+02   0.571431E-07   0.143938E-03  -0.436745E-06
   202   0.563033E+04   0.666874E+00   0.000000E+00  -0.130787E+02   0.568631E-07   0.142780E-03  -0.420894E-06
   203   0.564179E+04   0.667599E+00   0.000000E+00  -0.117684E+02   0.565795E-07   0.141618E-03  -0.405073E-06
   204   0.565254E+04   0.669263E+00   0.000000E+00  -0.104369E+02   0.563031E-07   0.140504E-03  -0.389008E-06
   205   0.566218E+04   0.671895E+00   0.000000E+00  -0.908411E+01   0.560248E-07   0.139396E-03  -0.373176E-06
   206   0.567180E+04   0.675541E+00   0.000000E+00  -0.771353E+01   0.557520E-07   0.138330E-03  -0.357656E-06
   207   0.568031E+04   0.680209E+00   0.000000E+00  -0.631997E+01   0.554789E-07   0.137206E-03  -0.341981E-06
   208   0.568824E+04   0.685965E+00   0.000000E+00  -0.490856E+01   0.552096E-07   0.136055E-03  -0.326239E-06
   209   0.569596E+04   0.692839E+00   0.000000E+00  -0.348025E+01   0.549416E-07   0.134986E-03  -0.310946E-06
   210   0.570313E+04   0.700867E+00   0.000000E+00  -0.203372E+01   0.546758E-07   0.133953E-03  -0.295934E-06
   211   0.570915E+04   0.710083E+00   0.000000E+00  -0.568608E+00   0.544128E-07   0.132887E-03  -0.281133E-06
   212   0.571486E+04   0.720526E+00   0.000000E+00   0.912316E+00   0.541504E-07   0.131792E-03  -0.266369E-06
   213   0.571992E+04   0.732225E+00   0.000000E+00   0.241062E+01   0.538921E-07   0.130731E-03  -0.251726E-06
   214   0.572418E+04   0.745222E+00   0.000000E+00   0.392500E+01   0.536330E-07   0.129684E-03  -0.237125E-06
   215   0.572801E+04   0.759556E+00   0.000000E+00   0.545345E+01   0.533765E-07   0.128673E-03  -0.223085E-06
   216   0.573147E+04   0.775259E+00   0.000000E+00   0.699628E+01   0.531237E-07   0.127652E-03  -0.209141E-06
   217   0.573427E+04   0.792366E+00   0.000000E+00   0.855392E+01   0.528790E-07   0.126636E-03  -0.195002E-06
   218   0.573568E+04   0.810909E+00   0.000000E+00   0.101253E+02   0.526224E-07   0.125574E-03  -0.180761E-06
   219   0.573734E+04   0.830930E+00   0.000000E+00   0.117082E+02   0.523807E-07   0.124627E-03  -0.166910E-06
   220   0.573765E+04   0.852454E+00   0.000000E+00   0.133057E+02   0.521287E-07   0.123620E-03  -0.153069E-06
   221   0.573765E+04   0.875525E+00   0.000000E+00   0.149136E+02   0.518899E-07   0.122587E-03  -0.138962E-06
   222   0.573723E+04   0.900165E+00   0.000000E+00   0.165316E+02   0.516424E-07   0.121585E-03  -0.124820E-06
   223   0.573630E+04   0.926416E+00   0.000000E+00   0.181608E+02   0.514068E-07   0.120670E-03  -0.110517E-06
   224   0.573394E+04   0.954307E+00   0.000000E+00   0.197996E+02   0.511637E-07   0.119703E-03  -0.965037E-07
   225   0.573170E+04   0.983871E+00   0.000000E+00   0.214469E+02   0.509309E-07   0.118760E-03  -0.823113E-07
   226   0.572844E+04   0.101514E+01   0.000000E+00   0.231033E+02   0.506921E-07   0.117745E-03  -0.676558E-07
   227   0.572468E+04   0.104814E+01   0.000000E+00   0.247675E+02   0.504623E-07   0.116812E-03  -0.527234E-07
   228   0.572036E+04   0.108291E+01   0.000000E+00   0.264375E+02   0.502276E-07   0.115912E-03  -0.381355E-07
   229   0.571566E+04   0.111947E+01   0.000000E+00   0.281151E+02   0.500006E-07   0.115031E-03  -0.235485E-07
   230   0.570967E+04   0.115785E+01   0.000000E+00   0.297973E+02   0.497700E-07   0.114066E-03  -0.850242E-08
